from,to,weight,strength
Jon-Snow,Samwell-Tarly,81,high
Jon-Snow,Todder,13,medium
Jon-Snow,Tyrion-Lannister,56,high
Jorah-Mormont,Viserys-Targaryen,15,medium
Kevan-Lannister,Tyrion-Lannister,15,medium
Loras-Tyrell,Sansa-Stark,14,medium
Luwin,Osha,16,medium
Luwin,Robb-Stark,20,medium
Lysa-Arryn,Tyrion-Lannister,25,medium
Mord,Tyrion-Lannister,20,medium
Mordane,Myrcella-Baratheon,12,medium
Mordane,Sansa-Stark,43,medium
Petyr-Baelish,Pycelle,14,medium
Petyr-Baelish,Renly-Baratheon,12,medium
Petyr-Baelish,Robert-Baratheon,30,medium
Petyr-Baelish,Tyrion-Lannister,11,medium
Petyr-Baelish,Varys,29,medium
Pycelle,Robert-Baratheon,26,medium
Pycelle,Varys,17,medium
Pypar,Samwell-Tarly,11,medium
Renly-Baratheon,Robert-Baratheon,42,medium
Renly-Baratheon,Stannis-Baratheon,19,medium
Rhaegar-Targaryen,Robert-Baratheon,22,medium
Rickon-Stark,Robb-Stark,20,medium
Robb-Stark,Rodrik-Cassel,15,medium
Robb-Stark,Sansa-Stark,13,medium
Robb-Stark,Theon-Greyjoy,37,medium
Robb-Stark,Tyrion-Lannister,11,medium
Robert-Baratheon,Sansa-Stark,26,medium
Robert-Baratheon,Stannis-Baratheon,21,medium
Robert-Baratheon,Tyrion-Lannister,18,medium
Robert-Baratheon,Tywin-Lannister,13,medium
Robert-Baratheon,Varys,36,medium
Sandor-Clegane,Sansa-Stark,23,medium
Shae,Tyrion-Lannister,12,medium
Shagga,Tyrion-Lannister,17,medium
Tyrion-Lannister,Tywin-Lannister,40,medium
Waymar-Royce,Will-(prologue),18,medium
